WarName,WarType,ccode1,Side1,ccode2,Side2,StartYear,EndYear,Initiator,Outcome,WhereFought,BatDeath,WarNum
First Caucasus,5,365,Russia,,Georgians,1818,1822,,1,2,11000,500
First Caucasus,5,365,Russia,,Dhagestania,1818,1822,,1,2,11000,500
First Caucasus,5,365,Russia,,Chechens,1818,1822,,1,2,11000,500
Sidon-Damascus,6,,Sidon,,Damascus,1820,1821,,2,6,,501
Sidon-Damascus,6,,Sidon,,Aleppo,1820,1821,,2,6,,501
First Two Sicilies,4,300,Austria,,,1821,1821,,1,2,,502
First Two Sicilies,4,329,Two Sicilies,,Liberals,1820,1821,,1,2,,502
Spanish Royalists,4,230,Spain,,Royalists,1821,1823,,4,2,,503
Sardinian Revolt,4,300,Austria,,,1821,1821,,1,2,,505
Sardinian Revolt,4,325,Sardinia,,Carbonari,1821,1821,,1,2,,505
Greek Independence,5,640,Ottoman Empire,,Greeks,1821,1828,,4,2,9000,506
Greek Independence,5,,,200,United Kingdom,1827,1827,,4,2,,506
Greek Independence,5,,,220,France,1827,1827,,4,2,,506
Greek Independence,5,,,365,Russia,1827,1828,,4,2,,506
Egypt-Mehdi,6,,Egypt,,Mehdi army,1824,1824,,1,6,,507
Janissari Revolt,4,640,Ottoman Empire,,Janissaries,1826,1826,,1,6,6300,508
Miguelite War,4,,,200,United Kingdom,1831,1834,,2,2,,510
Miguelite War,4,235,Portugal,,Constitutionalists,1828,1834,,2,2,20000,510
First Murid War,5,365,Russia,,Ghazi Muhammad,1830,1832,,1,2,1500,511
First Albanian Revolt,5,640,Ottoman Empire,,Albanians,1830,1831,,1,2,15000,512
First French Insurrection,4,220,France,,Liberals,1830,1830,,2,2,2200,513
Belgian Independence,5,210,Netherlands,,Belgians,1830,1830,,2,2,1100,515
Egyptian Taka Expedition,6,,Egypt,,Hadendowa,1831,1832,,2,6,,516
First Polish,5,365,Russia,,Poles,1831,1831,,1,2,35000,517
First Syrian,5,640,Ottoman Empire,,Egyptians,1831,1832,,2,6,12000,518
First Syrian,5,640,Ottoman Empire,,Bashir,1831,1832,,2,6,12000,518
First Mexican,4,70,Mexico,,Liberals,1832,1832,,2,1,,520
Egypt- Palestinian Anti-Conscription Revolt,6,,Palestinians,,Egypt,1834,1834,,2,6,2000,521
First Carlist War,4,235,Portugal,,,1835,1836,,1,2,,522
First Carlist War,4,230,Spain,,Carlists,1834,1840,,1,2,125000,522
First Carlist War,4,220,France,,,1835,1839,,1,2,,522
First Carlist War,4,200,United Kingdom,,,1835,1837,,1,2,,522
Second Murid,5,365,Russia,,Shamil,1834,1834,,7,2,,523
Cabanos Revolt,5,140,Brazil,,Cabanos,1835,1837,,1,1,,525
Farroupilha War,5,140,Brazil,,Farrapos,1835,1845,,1,1,,526
Texan,5,70,Mexico,,Texans,1835,1836,,2,1,2200,527
First Bosnian,5,640,Ottoman Empire,,Bosnians,1836,1837,,1,2,,528
Third Murid,5,365,Russia,,Shamil,1836,1852,,1,2,,530
Sabinada Rebellion,5,140,Brazil,,Bahian Sabinada,1837,1838,,1,1,1800,531
Druze Rebellion,6,,Egypt,,Druze,1837,1838,,1,6,,532
Druze Rebellion,6,,Bashir,,Druze,1837,1838,,1,6,,532
"Second Syrian,Phase 1",5,640,Ottoman Empire,,Egypt,1839,1839,,2,6,3000
Lebanon Insurgency,6,,Lebanese Maronites,,Amir Bashir,1840,1840,,2,6,4500,535
Lebanon Insurgency,6,,Lebanese Maronites,,Egypt,1840,1840,,2,6,4500,535
First Colombian,4,100,Colombia,,Progressives,1840,1842,,2,1,,536
"Second Syrian,Phase 2",5,200,United Kingdom,,,1840,1840,,1,6,6
"Second Syrian,Phase 2",5,640,Ottoman Empire,,Egypt,1840,1840,,1,6,27000
"First Argentina War,Phase 2",4,160,Argentina,,Unitarios,1841,1842,,1,1,3300
Second Bosnian,5,640,Ottoman Empire,,Bosnians,1841,1841,,1,2,,540
Triangular Revolt,4,70,Mexico,,Military,1841,1841,,2,1,,541
Karbala Revolt,5,640,Ottoman Empire,,Karbala,1842,1843,,1,6,4600,542
First Maronite-Druze,7,,Maronites,,Druze,1845,1845,,2,6,3000,543
"Mayan Caste War,Phase 1",6,,Mayans,,Yucutan,1847,1848,,4,1,
Second Carlist,4,230,Spain,,Carlists,1847,1849,,1,2,10000,546
Second Two Sicilies,4,329,Two Sicilies,,Liberals,1848,1848,,1,2,,547
First Venezuelan,4,101,Venezuela,,Paez led Conservatives,1848,1849,,1,1,,548
Viennese Revolt,4,300,Austria,,Viennese,1848,1848,,1,2,3249,550
Milan Five Day Revolt,5,300,Austria,,Milan,1848,1848,,4,2,1030,551
Second French Insurrection,4,220,France,,Radicals,1848,1848,,1,2,2800,552
"Mayan Caste War,Phase 2",5,70,Mexico,,Yucatan Maya,1848,1855,,1,1,
Hungarian,5,300,Austria,,Hungary,1848,1849,,1,2,66000,554
Hungarian,5,365,Russia,,,1849,1849,,1,2,,554
First Chilean,4,155,Chile,,Liberals,1851,1851,,1,1,4000,555
First Turco-Montenegrin,5,640,Ottoman Empire,,Montenegro,1852,1853,,2,2,,556
First Turco-Montenegrin,5,640,Ottoman Empire,,Hercegovina,1852,1853,,2,2,,556
First Peru,4,135,Peru,,Liberals,1853,1855,,2,1,,557
Puebla War,4,70,Mexico,,Puebla,1855,1856,,1,1,3600,558
Second Peru,4,135,Peru,,Conservatives,1856,1858,,1,1,,560
Mexican Reform,4,70,Mexico,,Liberals,1858,1861,,4,1,,561
Second Turco-Montenegrin,5,640,Ottoman Empire,,Montenegrins,1858,1859,,2,2,4400,562
Second Venezuelan/Federalist,4,101,Venezuela,,Liberals,1859,1863,,2,1,20000,563
Second Colombian,4,100,Colombia,,Liberals,1860,1861,,2,1,,565
Second Maronite-Druze,7,,Maronites,,Druze,1860,1860,,2,6,9500,566
"Taiping Rebellion,Phase 2",4,710,China,,Taipings,1860,1866,,1,7,111000
"Taiping Rebellion,Phase 2",4,200,United Kingdom,,,1862,1862,,1,7,
Second Nien Revolt,5,710,China,,Niens,1860,1868,,1,7,,568
Miao Revolt Phase 2,5,710,China,,Miaos,1860,1872,,1,7,,570
Panthay Rebellion Phase 2,5,710,China,,Muslims,1860,1872,,1,7,,571
U.S. Civil War,5,2,United States of America,,Confederacy,1861,1865,,1,1,618000,572
Third Buenos Aires,5,160,Argentina,,Buenos Aires,1861,1861,,2,1,1000,573
Third Turco-Montenegrin,5,640,Turkey,,Montenegro,1861,1862,,3,2,,575
Tungan Rebellion,5,710,China,,Muslims  in Sinkiang,1862,1873,,1,7,,576
Sioux-Minnesota,6,,Santee Sioux,,Settlers,1862,1862,,2,1,1068,577
Sioux-Minnesota,6,,Santee Sioux,,militia,1862,1862,,2,1,1068,577
Bolivan Perez Rebellion,4,145,Boliva,,Gregorio Perez's followers,1862,1862,,1,1,,578
Second Polish,5,365,Russia,,Poles,1863,1864,,1,2,16500,580
Second Argentina,4,160,Argentina,,Montoneros,1863,1863,,1,1,,581
Xinjiang Muslim Revolt,5,365,Russia,,,1871,1871,,2,7,,582
Xinjiang Muslim Revolt,5,710,China,,Muslims,1864,1871,,2,7,,582
First  Cretan,5,640,Ottoman Empire,,Cretans,1866,1867,,1,2,,583
Yellow Cliff Revolt,5,710,China,,Zhang Jizhong's followers,1866,,,1,7,,585
Third Argentina,4,160,Argentina,,Montoneros,1866,1867,,1,1,,586
Queretaro,4,70,Mexico,,Liberals,1867,1867,,2,1,2500,587
Meiji Restoration,4,740,Japan,,Tokugawa,1868,1868,,1,7,,588
Third Venezuelan,4,101,Venezuela,,Conservatives,1868,1868,,2,1,,590
Spanish Liberals,4,230,Spain,,Liberals,1868,1868,,2,2,,591
Guerre des Cacos,4,41,Haiti,,Black peasants,1869,1869,,2,1,,592
Fourth Argentina,5,160,Argentina,,Entre Rios Province,1870,1871,,1,1,,593
Bolivia-Criollos,4,145,Bolivia,,Crillos,1870,1871,,2,1,,595
Paris Commune,4,220,France,,Communards,1871,1871,,1,2,25879,596
Third Carlist,4,230,Spain,,Carlists,1872,1876,,1,2,50000,597
Catonalist Uprising,5,230,Spain,,Rebel cities,1874,1875,,1,2,,598
Fifth Argentina,4,160,Argentina,,Mitre led Rebels,1874,1874,,1,1,,600
"Bosnia,Bulgaria Revolt",5,640,Ottoman Empire,,Bosnia,1875,1876,,4,2,9000
"Bosnia,Bulgaria Revolt",5,640,Ottoman Empire,,Bulgaria,1875,1876,,4,2,9000
Diaz Revolt,4,70,Mexico,,Rebels,1876,1876,,2,1,,602
Defeat of Xinjiang Muslims,5,710,China,,Muslims,1876,1877,,1,7,,603
Third Colombian,4,100,Colombia,,Conservatives,1876,1877,,1,1,3870,605
Satsuma Rebellion,5,740,Japan,,Satsumas,1877,1877,,1,7,17000,607
Argentine Indians,5,160,Argentina,,Indians,1879,1880,,1,1,1700,608
Fourth Buenos Aires,5,160,Argentina,,Buenos Aires,1880,1880,,1,1,1200,610
Haitian Civil War,4,41,Haiti,,Liberals,1883,1884,,1,1,8100,611
Fourth Colombian,4,100,Colombia,,Liberals,1884,1885,,1,1,1000,612
Peru's National Problem,5,135,Peru,,Indians,1885,1885,,1,1,2200,613
First Yemen Rebellion,5,640,Ottoman Empire,,Zaidi Imam,1890,1892,,1,6,,616
Second Chilean,4,155,Chile,,Congressists,1891,1891,,2,1,1700,617
Zaili-Jinden Revolt,5,710,China,,Zaili,1891,1891,,1,7,10500,618
Zaili-Jinden Revolt,5,710,China,,Jindan Sects,1891,1891,,1,7,10500,618
Brazil Federalists,5,140,Brazil,,Rio Grande do Sul,1893,1894,,1,1,,620
Brazil Naval,4,140,Brazil,,Naval Royalists,1893,1894,,1,1,,621
Tonghak Rebellion,4,740,Japan,,,1894,1894,,1,7,,623
Tonghak Rebellion,4,730,Korea,,Tonghak Society,1894,1894,,1,7,,623
Third Peru,4,135,Peru,,Liberals,1894,1895,,2,1,,625
Fifth Colombian,4,100,Colombia,,Liberals,1895,1895,,1,1,1200,626
Ecuador Liberals,4,130,Ecuador,,liberal caudillos,1895,1895,,2,1,1000,627
First Gansu Muslim,5,710,China,,Gansu Muslims,1895,1896,,1,7,,628
Druze-Turkish,5,640,Ottoman Empire,,Druze,1895,1896,,1,6,,630
Second Cretan,5,640,Ottoman Empire,,Cretan Muslims,1896,1897,,4,2,,631
Third Brazil-Canudos,5,140,Brazil,,Canudos,1896,1897,,1,1,5200,632
Fourth Venezuelan,4,101,Venezuela,,Castro Led Rebels,1899,1899,,2,1,2100,633
Second Yaqui War,5,70,Mexico,,Yaqui Indians,1899,1900,,1,1,1600,635
Sixth Colombian (War of the 1000 Days),4,100,Colombia,,Liberals,1899,1902,,1,1,100000,636
Fifth Venezuelan,4,101,Venezuela,,Matos Led Rebels,1901,1903,,1,1,4000,638
Ilinden,5,640,Ottoman Empire,,IMRO Rebels,1903,1903,,1,2,6330,640
First Uruguay,4,165,Uruguay,,Blancos,1904,1904,,1,1,,641
Second Yemen Rebellion,5,640,Ottoman Empire,,Imam Yahya's forces,1904,1906,,6,6,,642
Bloody Sunday,4,365,Russia,,Workers,1905,1906,,1,2,,643
Bloody Sunday,4,365,Russia,,Peasants,1905,1906,,1,2,,643
Romanian Peasant Revolt,4,360,Romania,,Peasants,1907,1907,,1,2,,645
Overthrow of Abd el-Aziz,4,220,France,,,1907,1908,,2,6,,646
Overthrow of Abd el-Aziz,4,600,Morocco,,Mulai el-Hafid,1907,1908,,2,6,1200,646
Iranian Constitution War,4,365,Russia,,,1909,1909,,2,6,,647
Iranian Constitution War,4,630,Iran,,Constitutionalists,1908,1909,,2,6,,647
Young Turks Counter-coup,4,640,Ottoman Empire,,Anti-government troops,1909,1909,,1,6,,648
Second Albanian Revolt,5,640,Ottoman Empire,,Albania,1910,1912,,4,2,,650
Asir-Yemen Revolt,5,640,Ottoman Empire,,Yemen,1910,1911,,6,6,9000,651
Asir-Yemen Revolt,5,640,Ottoman Empire,,Asir Imam Ibn Idris,1910,1911,,6,6,9000,651
Asir-Yemen Revolt,5,640,Ottoman Empire,,Sayyid Muhammad,1910,1911,,6,6,9000,651
Third Mexican,4,70,Mexico,,Liberals,1910,1914,,2,1,93750,652
Third Mexican,4,70,Mexico,,Radicals,1910,1914,,2,1,93750,652
Paraguay,4,150,Paraguay,,Radicals,1911,1912,,2,1,5000,656
First Nationalist,4,710,China,,Nat. Rel. Alliance,1911,1911,,2,7,1000,657
Cuban Black Uprising,5,40,Cuba,,Patri do Indepentente,1912,1912,,1,1,1050,658
Ecuadorian Civil War,5,130,Ecuador,,Esmeraldas province,1912,1914,,1,1,,670
Second Nationalist,4,710,China,,Republicans,1913,1913,,1,7,,671
China Pai Ling (White Wolf),5,710,China,,Pai-Lings,1914,1914,,1,7,,672
Fourth Mexican,4,2,United States,,,1915,1917,,1,1,,673
Fourth Mexican,4,70,Mexico,,Conventionists,1914,1920,,1,1,31250,673
Southern China Revolt,5,710,China,,Yunnan Rebels,1916,1918,,1,7,,675
Russia-Turkestan,5,365,Russia,,Kirghiz,1916,1917,,1,2,1350,676
Russia-Turkestan,5,365,Russia,,Kazaks,1916,1917,,1,2,1350,676
Russian Civil War,4,,,375,Finland,1919,1919,,1,2,,677
Russian Civil War,4,,,740,Japan,1918,1920,,1,2,,677
Russian Civil War,4,365,USSR,,Anti-Bolsheviks,1917,1921,,1,2,800000,677
Russian Civil War,4,,,200,United Kingdom,1918,1920,,1,2,,677
Russian Civil War,4,,,2,United States of America,1918,1920,,1,2,,677
Russian Civil War,4,,,220,France,1918,1919,,1,2,,677
Finnish Civil War,4,255,Germany,,,1918,1918,,1,2,,680
Finnish Civil War,4,,,365,USSR,1918,1918,,1,2,,680
Finnish Civil War,4,375,Finland,,Red Guard,1918,1918,,1,2,13800,680
Western Ukrainian,6,,Ukraine Poles,,Ukrainians,1918,1919,,4,2,,681
Sparticist Rising,7,,Socialists,,German Freikorps,1919,,,2,2,2170,682
Hungary's Red Terror,4,310,Hungary,,Anti-Communists,1919,1920,,2,2,1500,683
First Chinese Warlord,7,,Anhui army,,Chihli,1920,1920,,2,7,,685
First Chinese Warlord,7,,Anhui army,,Fengtien,1920,1920,,2,7,,685
Green Rebellion,5,365,USSR,,Peasants in Ta,1920,1921,,1,2,6700,686
Gilan Marxists,4,,,365,USSR,1920,1921,,1,6,,687
Gilan Marxists,4,630,Iran,,SSRI,1920,1921,,1,6,,687
Italian Fascist,7,,Blackshirts,,Leftists,1920,1922,,1,2,3300,688
Kronstadt Rebellion,5,365,USSR,,Sailors,1921,1921,,1,2,2600,690
Bashmachi in Turkestan,5,365,USSR,,Basmachi,1921,1923,,1,2,3500,691
Bashmachi in Turkestan,5,365,USSR,,Enver Pasha,1921,1923,,1,2,3500,691
Second Chinese Warlord,7,,Chihli army,,Fengtien army,1922,1922,,1,7,,692
Agrarian Rising,4,355,Bulgaria,,Agrarian League,1923,1923,,1,2,,693
De La Huerta Rebellion,4,70,Mexico,,Huerta Led Rebels,1923,1924,,1,1,,695
Honduran Conservative,4,91,Honduras,,Conservatives,1924,1924,,2,1,,696
First Afghan Anti-Reform,4,700,Afghanistan,,Khost rebels,1924,1925,,1,7,,697
Third Chinese Warlord,6,,Feng Yu-Lxiang army,,Chang Tso-lin army,1925,1926,,2,7,,698
Chinese Northern Expedition,4,710,War Lord Gov't.,,Guomindang,1926,1928,,2,7,126000,700
Chinese Northern Expedition,4,,,740,Japan,1927,1928,,2,7,,700
Cristeros Revolt,4,70,Mexico,,Cristeros,1926,1929,,3,1,10000,701
Ethiopian Northern Resistance,5,530,Ethiopia,,Northern Resistance,1928,1930,,1,6,,702
Second Gansu Muslim,5,710,China,,Gansu Muslims,1928,1930,,1,7,,703
Second Afghan Anti-Reform,4,700,Afghanistan,,Habibullah,1928,1929,,1,7,15000,705
Intra-Guomindang,4,710,China,,War Lords,1929,1930,,1,7,,706
Escobar Rebellion,4,70,Mexico,,Escobar Led Rebels,1929,1929,,1,1,2000,707
Ikhwan Revolt,4,670,Saudi Arabia,,Ikhwan,1929,1930,,1,6,5500,708
"Chinese Civil War,Phase 1",4,710,China,,Communists,1930,1936,,6,7,500000
Xinjiang Muslim Revolt,5,365,USSR,,,1934,1934,,1,7,,711
Xinjiang Muslim Revolt,5,710,China,,Central Asian Rebels,1931,1934,,1,7,20000,711
Matanza,4,92,El Salvador,,Leftists,1932,1932,,1,1,2600,712
Aprista Revolt,4,135,Peru,,Aprista Rebels,1932,1932,,1,1,1100,713
Paulista Rebellion,4,140,Brazil,,Paolistas,1932,1932,,1,1,,715
Fukien Revolt,4,710,China,,19th Route Army,1934,1934,,1,7,,716
Spanish Miners,5,230,Spain,,Asturian Miners,1934,1934,,1,2,1335,717
Spanish Civil War,4,230,Spain,,Falange,1936,1939,,2,2,460000,718
Spanish Civil War,4,,,235,Portugal,1936,1939,,2,2,,718
Spanish Civil War,4,,,255,Germany,1936,1939,,2,2,,718
Spanish Civil War,4,,,325,Italy,1936,1939,,2,2,,718
Greek Civil War,4,200,United Kingdom,,,1944,1945,,1,2,,720
Greek Civil War,4,350,Greece,,Communists,1944,1945,,1,2,67970,720
Polish Ukrainians,5,290,Poland,,UPA,1945,1947,,1,2,19700,721
Polish Ukrainians,5,365,USSR,,,1945,1947,,1,2,,721
Ukrainian Partisans,5,365,USSR,,UPA,1945,1947,,1,2,,722
Forest Brethren,5,365,USSR,,Baltic Guerillas,1945,1951,,1,2,32400,723
"Chinese Civil War,Phase 2",4,710,China,,Communists,1946,1950,,2,7,1200000
Taiwan Revolt,5,710,China,,Taiwanese,1947,1947,,1,7,1250,726
Paraguay,4,150,Paraguay,,Leftists,1947,1947,,1,1,,727
Yemeni Imamate,4,678,Yemen,,Anti-Imam Coalition,1948,1948,,1,6,,728
Costa Rica,4,94,Costa Rica,,National Union Party,1948,1948,,2,1,2000,730
First Burmese,5,775,Burma,,Karens,1948,1951,,1,7,,732
First Burmese,5,775,Burma,,Communists,1948,1951,,1,7,,732
South Moluccas,5,850,Indonesia,,Moluccans,1950,1950,,1,7,,733
Hukbalahap Rebellion,4,840,Philippines,,Huks,1950,1954,,1,7,11300,735
Bolivia,4,145,Bolivia,,Leftists,1952,1952,,2,1,,737
Indonesia Darul Islam,4,850,Indonesia,,Darul Islam,1953,1953,,1,7,2700,738
Argentine Military,4,160,Argentina,,Military,1955,1955,,2,1,,740
Tibetan Khamba Rebellion,5,710,China,,Khamba Tibetans,1956,1959,,1,7,16000,741
Indonesian Leftists,4,850,Indonesia,,Leftists,1956,1962,,1,7,27200,742
First Lebanese,4,2,United States of America,,,1958,1958,,1,6,,743
First Lebanese,4,660,Lebanon,,National Front,1958,1958,,1,6,,743
Cuban Revolution,4,40,Cuba,,Castroites,1958,1959,,2,1,3000,745
Second Burmese,4,775,Burma,,Karens,1958,1960,,7,7,3150,746
Second Burmese,4,775,Burma,,Communists,1958,1960,,7,7,3150,746
Iraq-Shammar,4,645,Iraq,,Shammar Tribe,1959,1959,,1,6,,747
Iraq-Shammar,4,645,Iraq,,Pro-WesternOfficers,1959,1959,,1,6,,747
Vietnam Phase 1,4,2,United States of America,,,1961,1965,,4,7,,748
Vietnam Phase 1,4,817,Vietnam,,NLF,1960,1965,,4,7,100200,748
Vietnam Phase 1,4,817,Republic of,,NLF,1960,1965,,4,7,100200,748
First DRC (Zaire),5,,,211,Belgium,1960,1960,,1,4,,750
First DRC (Zaire),5,490,Zaire,,Katanga,1960,1963,,1,4,,750
